# artefact	command	path	sha256
Props. 3.1-3.2, sec. 2.2, Paper I Vaidya: independent re-derivation	python3 verify_independent_rederivation.py	NonStationaryMetrics/paper2/verification/verify_independent_rederivation.py	bc95a876545653862baf92af31d174bf97d092747ccf83370e95bbc4a90b78ce
Fig. (phi-true-dynamic) and Table A3 slopes	python3 make_provenance.py	NonStationaryMetrics/paper2/provenance/make_provenance.py	61851153edfd151462d0cf32a1ec5f717f3314a1ff7965bb722515a6f067fab9
true-dynamics validation run	python3 fig_phi_validation_corrected.py	NonStationaryMetrics/ThakurtaMetric/fig_phi_validation_corrected.py	476e662efce94fa5bc604bab5ec27a6621ae216dc40ec2704b45470a1d277a52
exact first-order PT run	python3 adiabatic_first_order_exact.py	NonStationaryMetrics/ThakurtaMetric/adiabatic_first_order_exact.py	3cd72fd798e3879dd8889eafbddd7452ee222cab98b1c934888f998627dc1a1b
CAP interval-arithmetic library	python3 cap_full.py	NonStationaryMetrics/cap_full.py	b6056206bf71a04269d2a2c8f3c2b189642f426b50c2a88763ae543c4bf796b3
CAP certificate at r0 = 10	python3 no_inversion_schwarzschild_CAP_r0_10.py	NonStationaryMetrics/no_inversion_schwarzschild_CAP_r0_10.py	0e6ba14b8493d671069f4bbcd10f0a8cf36a47002ae06d8954548347f64efc3b
CAP certificates over the (E, r0) grid	python3 no_inversion_schwarzschild_CAP_grid.py	NonStationaryMetrics/no_inversion_schwarzschild_CAP_grid.py	5023a6a112d1dacafc65dc7aba5aa34dc1ce0cbf6b460c1a68d307a19b56b022
archived output of the grid certificates (both runs)	-	NonStationaryMetrics/CAP_grid_certificates.log	933c8c9fa660d0b4b54eda824f55b59137cbf2ef26f055ad00a4cde3dc1ac15e
Fig. (master-pen)	python3 fig_master_penetration_taut.py	KerrScripts/fig_master_penetration_taut.py	5d25cf103145a80a54999dbdb6094de4895725d5034b37dd70301d17664e22da
Fig. (atlas-tau), Fig. (atlas-t)	python3 fig_atlas_tau_t.py	KerrScripts/fig_atlas_tau_t.py	e772e6f558d01f39d4e3d2a00e267c3d2932f7ff828611b2e8dd8f88f1e730f6
Fig. (th-cusp)	python3 cuspide_ergosfera.py	NonStationaryMetrics/ThakurtaMetric/cuspide_ergosfera.py	55fc540ecf1794cbcb1930819c1628170d4638f76a43067a593c86e2e3d44c9a
Fig. (sep3)	python3 kerr_separatrix_trajectories.py	KerrScripts/kerr_separatrix_trajectories.py	3d7b7fde30c7f637ad707d881a4c2dcf4c67b5bc56766a49be9efa70815aa647
Fig. (jpt-g2)	python3 kerr_jpt_genus2_figure.py	KerrScripts/kerr_jpt_genus2_figure.py	3a54c11148b95d37a5ec52c02db6fcdf2917d43986dc963c25bf738b50c05723
Fig. (jcm-cap)	python3 kerr_jcm_capture_figure.py	KerrScripts/kerr_jcm_capture_figure.py	504b11ef089596a0a57663f6ec2d8606198f3a052839a15dc5f20f04ea0bafa0
shared figure style	-	NonStationaryMetrics/paper_style.py	5017370483ed4cca2a3968cc64b2c82541794d0cf8225a5000b078831c62dcf9
environment lock (Python stack + CAS version)	-	NonStationaryMetrics/requirements-lock.txt	bf31123e78712c0b4f9ee6b427af00fce2b104467777b3d4f72284e83724e7e1
bibliography audit against the DOI registry	python3 audit_refs.py	NonStationaryMetrics/paper2/provenance/audit_refs.py	d6d9c2c1edae38821140d934871b3ff8e7223f4c2a8d5c575fc3f44a8267c722
bibliography audit by title, for entries with no DOI	python3 audit_by_title.py	NonStationaryMetrics/paper2/provenance/audit_by_title.py	69e5f5186d6eb342dc93739bbd891b70afbf167fe86e7586a50c03c9f6ca7380
